concurso,data,d1,d2,d3,d4,d5,d6,ordem_sorteio
422,2002-12-14,12,37,43,55,56,60,60 12 56 37 55 43
423,2002-12-18,8,22,32,33,40,53,08 22 33 40 32 53
424,2002-12-21,18,27,29,36,46,59,29 36 27 18 59 46
425,2002-12-28,6,10,16,34,42,47,06 16 10 34 47 42
426,2003-01-04,7,30,32,37,50,54,07 32 54 50 30 37
427,2003-01-08,3,13,14,24,43,51,51 13 43 24 03 14
428,2003-01-11,8,28,30,32,46,60,60 08 32 28 46 30
429,2003-01-15,17,26,32,36,43,55,55 32 17 36 26 43
430,2003-01-18,8,10,21,25,38,50,50 21 10 25 38 08
431,2003-01-22,26,37,40,47,52,58,58 26 40 37 47 52
432,2003-01-25,4,13,17,27,39,50,50 17 13 27 04 39
433,2003-01-29,16,17,28,30,36,54,36 17 28 16 54 30
434,2003-02-01,4,10,17,24,30,54,24 17 04 54 30 10
435,2003-02-05,10,11,17,31,37,43,37 11 17 31 43 10
436,2003-02-08,1,6,7,29,48,57,01 06 57 29 48 07
437,2003-02-12,7,10,30,44,54,59,54 10 59 44 30 07
438,2003-02-15,3,5,11,14,38,48,38 48 14 03 11 05
439,2003-02-19,13,20,29,42,43,57,42 13 20 29 43 57
440,2003-02-22,3,5,23,30,46,47,46 23 30 47 05 03
441,2003-02-26,2,10,15,21,58,59,02 15 58 10 59 21
442,2003-03-01,6,15,23,31,37,59,15 31 23 06 59 37
443,2003-03-08,11,17,26,36,48,52,11 36 17 26 52 48
444,2003-03-12,3,24,33,48,52,57,48 52 57 24 03 33
445,2003-03-15,7,20,31,32,50,53,31 50 07 53 32 20
446,2003-03-19,8,11,12,17,20,47,11 20 08 47 12 17
447,2003-03-22,15,24,25,33,42,55,24 55 15 33 25 42
448,2003-03-26,3,5,9,45,51,52,05 03 52 45 09 51
449,2003-03-29,1,8,24,34,49,56,34 56 24 01 49 08
450,2003-04-02,1,9,13,50,51,59,59 51 13 01 09 50
451,2003-04-05,17,18,23,28,31,53,23 18 31 17 53 28
452,2003-04-09,11,16,30,36,51,54,54 11 51 16 36 30
453,2003-04-12,8,20,23,34,52,58,58 52 08 34 20 23
454,2003-04-16,4,17,24,42,46,56,04 17 42 56 46 24
455,2003-04-19,2,14,15,17,50,59,50 15 17 02 14 59
456,2003-04-23,3,17,22,27,33,40,17 40 22 27 33 03
457,2003-04-26,15,17,24,27,32,48,48 15 24 27 17 32
458,2003-04-30,13,24,32,34,43,53,43 53 13 32 34 24
459,2003-05-03,8,15,17,39,43,49,43 17 08 15 49 39
460,2003-05-07,19,23,30,37,49,55,19 55 30 23 37 49
461,2003-05-10,15,17,20,29,30,60,30 17 20 29 15 60
462,2003-05-14,17,19,22,26,27,48,27 48 17 19 26 22
463,2003-05-17,2,3,7,18,45,53,07 18 02 45 03 53
464,2003-05-21,6,24,33,38,45,50,06 33 45 38 24 50
465,2003-05-24,1,22,31,46,51,57,46 31 01 57 22 51
466,2003-05-28,11,16,28,29,30,45,28 16 45 29 30 11
467,2003-05-31,8,18,21,22,38,60,38 21 08 22 18 60
468,2003-06-04,5,6,23,25,39,51,23 06 25 39 51 05
469,2003-06-07,13,21,26,29,42,47,29 47 42 21 13 26
470,2003-06-11,8,11,23,37,51,58,51 58 23 11 08 37
471,2003-06-14,5,31,32,36,51,59,51 59 31 05 36 32
472,2003-06-18,3,4,12,29,38,51,12 03 38 29 51 04
473,2003-06-21,7,23,41,49,51,58,51 07 58 49 23 41
474,2003-06-25,3,12,32,34,40,50,34 03 12 50 32 40
475,2003-06-28,6,8,19,22,43,52,19 06 43 52 08 22
476,2003-07-02,17,20,38,43,55,58,38 43 20 55 17 58
477,2003-07-05,6,8,18,34,38,47,47 34 08 06 18 38
478,2003-07-09,3,8,21,25,30,31,30 08 31 03 21 25
479,2003-07-12,20,26,41,46,54,58,20 54 58 26 41 46
480,2003-07-16,14,33,36,38,41,49,36 38 33 14 49 41
481,2003-07-19,6,13,22,24,42,44,42 06 24 44 22 13
482,2003-07-23,12,13,33,53,54,56,13 56 12 33 53 54
483,2003-07-26,16,18,23,35,44,59,16 23 35 18 44 59
484,2003-07-30,17,18,19,38,49,53,53 19 38 18 17 49
485,2003-08-02,19,28,30,38,52,57,38 28 52 30 19 57
486,2003-08-06,8,14,19,30,42,50,50 42 19 08 30 14
487,2003-08-09,8,22,25,48,52,54,25 22 48 52 54 08
488,2003-08-13,15,30,35,39,43,57,30 39 35 43 15 57
489,2003-08-16,17,28,33,36,53,59,28 36 17 53 33 59
490,2003-08-20,5,11,23,29,54,58,05 11 29 54 23 58
491,2003-08-23,1,9,15,22,43,55,22 43 15 55 09 01
492,2003-08-27,2,6,15,18,56,57,57 02 15 06 56 18
493,2003-08-30,3,18,20,24,42,54,54 20 03 18 42 24
494,2003-09-03,18,20,28,32,49,53,28 32 49 53 18 20
495,2003-09-06,8,15,29,36,49,60,36 15 60 08 29 49
496,2003-09-10,10,19,20,29,41,59,41 20 19 29 59 10
497,2003-09-13,9,13,20,32,41,58,09 41 32 13 58 20
498,2003-09-17,2,6,28,49,50,57,49 28 02 06 57 50
499,2003-09-20,1,4,5,11,44,59,59 01 11 05 44 04
500,2003-09-27,21,29,35,36,38,54,35 21 54 29 38 36
501,2003-10-01,16,27,28,34,39,56,34 27 56 28 16 39
502,2003-10-04,7,13,21,24,33,50,50 07 33 21 24 13
503,2003-10-08,7,10,21,27,48,49,10 21 48 27 49 07
504,2003-10-11,8,11,19,30,39,50,39 19 11 08 50 30
505,2003-10-15,3,20,28,46,47,52,47 20 52 03 46 28
506,2003-10-18,4,15,31,34,37,38,31 37 34 15 38 04
507,2003-10-22,3,5,27,33,44,58,44 58 05 27 33 03
508,2003-10-25,5,10,15,45,46,56,46 56 05 15 45 10
509,2003-10-29,28,32,33,34,35,55,32 55 34 35 28 33
510,2003-11-01,1,4,30,41,45,58,30 45 58 01 04 41
511,2003-11-05,3,4,8,34,36,37,08 36 34 37 03 04
512,2003-11-08,4,8,31,40,53,58,08 40 58 04 53 31
513,2003-11-12,10,19,27,33,39,46,46 10 27 19 33 39
514,2003-11-15,15,36,40,42,51,52,15 52 40 36 51 42
515,2003-11-19,15,16,39,45,48,57,39 16 57 15 45 48
516,2003-11-22,5,13,24,33,34,35,24 05 34 13 35 33
517,2003-11-26,7,8,28,32,38,51,51 32 08 28 38 07
518,2003-11-29,5,8,10,15,18,44,44 08 05 15 18 10
519,2003-12-03,9,15,19,22,36,42,09 36 15 19 42 22
520,2003-12-06,9,12,17,32,34,35,32 34 17 35 09 12
521,2003-12-10,15,25,28,32,38,45,28 32 38 25 15 45
522,2003-12-13,6,14,15,25,49,52,49 52 15 25 14 06
523,2003-12-17,28,39,40,44,45,58,45 58 40 39 28 44
524,2003-12-20,19,29,34,41,47,48,47 29 34 48 19 41
525,2003-12-27,8,10,24,26,32,49,26 32 24 49 08 10
526,2004-01-03,3,21,31,36,55,59,03 59 21 36 55 31
527,2004-01-07,6,14,17,26,50,52,17 14 50 52 06 26
528,2004-01-10,8,12,28,31,34,37,34 28 37 12 08 31
529,2004-01-14,1,13,33,38,45,56,56 45 13 33 38 01
530,2004-01-17,1,6,21,25,32,49,32 21 25 01 06 49
531,2004-01-21,1,3,7,18,35,50,03 01 35 07 18 50
532,2004-01-24,4,9,12,13,52,53,13 04 12 53 09 52
533,2004-01-28,13,18,21,27,53,59,27 18 13 59 21 53
534,2004-01-31,3,8,23,31,48,57,48 57 23 08 31 03
535,2004-02-04,6,14,28,47,49,56,49 14 47 56 06 28
536,2004-02-07,14,15,22,23,25,37,14 22 25 15 37 23
537,2004-02-11,3,7,19,34,37,39,37 03 19 34 39 07
538,2004-02-14,3,25,43,45,52,56,45 43 56 25 52 03
539,2004-02-18,6,16,19,47,50,55,16 50 55 06 47 19
540,2004-02-21,4,22,28,30,44,49,22 04 30 44 28 49
541,2004-02-28,13,27,49,52,57,58,58 57 27 13 49 52
542,2004-03-03,4,6,19,28,35,49,49 04 19 28 35 06
543,2004-03-06,35,37,42,46,49,54,35 54 37 42 49 46
544,2004-03-10,11,17,33,34,47,56,11 33 56 47 17 34
545,2004-03-13,17,29,35,40,43,57,43 35 57 29 40 17
546,2004-03-17,4,5,13,17,46,54,46 04 54 17 13 05
547,2004-03-20,4,13,28,30,53,59,04 59 13 53 28 30
548,2004-03-24,14,47,49,51,58,59,51 49 14 47 59 58
549,2004-03-27,8,13,22,46,51,58,13 51 58 22 46 08
550,2004-03-31,16,17,38,39,45,56,17 56 16 38 39 45
551,2004-04-03,12,21,46,48,56,57,56 48 57 21 12 46
552,2004-04-07,9,22,47,49,52,54,22 54 52 47 49 09
553,2004-04-10,4,43,46,53,54,58,43 46 58 53 54 04
554,2004-04-14,15,29,31,42,47,60,47 29 31 15 60 42
555,2004-04-17,5,23,31,33,45,49,49 05 23 33 45 31
556,2004-04-21,8,10,17,30,33,45,08 45 30 33 17 10
557,2004-04-24,8,12,18,23,38,49,18 49 38 23 08 12
558,2004-04-28,7,14,31,57,58,59,59 57 07 58 31 14
559,2004-05-01,6,13,17,25,36,53,53 25 36 13 17 06
560,2004-05-05,2,11,18,30,32,58,32 18 11 30 02 58
561,2004-05-08,1,20,36,39,49,55,39 49 36 20 55 01
562,2004-05-12,16,23,35,37,55,57,37 35 23 16 57 55
563,2004-05-15,5,8,23,34,44,51,34 08 23 44 51 05
564,2004-05-19,10,13,20,32,38,49,38 13 32 20 10 49
565,2004-05-22,7,31,34,35,37,45,31 37 35 07 45 34
566,2004-05-26,6,13,17,18,20,37,17 06 20 18 13 37
567,2004-05-29,11,31,38,41,57,58,57 58 11 38 41 31
568,2004-06-02,13,17,22,25,29,41,25 41 17 29 13 22
569,2004-06-05,3,9,14,15,32,57,32 15 14 09 03 57
570,2004-06-09,15,32,33,35,36,51,35 32 36 33 51 15
571,2004-06-12,12,13,14,31,50,51,14 31 12 13 51 50
572,2004-06-16,3,9,16,20,33,60,33 03 20 60 09 16
573,2004-06-19,6,17,22,29,40,59,59 29 17 06 40 22
574,2004-06-23,2,10,17,23,32,44,32 23 02 10 44 17
575,2004-06-26,5,18,21,29,35,48,18 29 21 48 35 05
576,2004-06-30,7,8,18,39,43,52,18 43 52 39 07 08
577,2004-07-03,8,23,24,28,31,47,31 47 28 23 08 24
578,2004-07-07,3,18,23,48,56,58,48 03 58 18 56 23
579,2004-07-10,4,9,15,17,34,39,15 34 39 17 04 09
580,2004-07-14,15,16,18,28,38,47,38 16 18 28 15 47
581,2004-07-17,14,17,25,30,39,52,30 25 52 14 39 17
582,2004-07-21,13,29,40,45,51,59,13 40 29 59 45 51
583,2004-07-24,6,7,20,41,43,55,55 06 41 20 43 07
584,2004-07-28,7,8,23,30,32,53,30 53 23 07 32 08
585,2004-07-31,12,24,33,36,39,57,24 39 12 33 57 36
586,2004-08-04,11,13,38,39,45,54,45 38 13 11 54 39
587,2004-08-07,2,18,29,30,36,60,30 02 36 18 60 29
588,2004-08-11,11,13,45,46,53,55,45 13 46 55 53 11
589,2004-08-14,6,7,8,13,33,59,13 07 33 59 06 08
590,2004-08-18,4,5,18,25,28,51,25 51 05 18 04 28
591,2004-08-21,1,3,18,34,50,58,58 03 18 50 34 01
592,2004-08-25,13,14,42,47,55,59,55 14 59 47 13 42
593,2004-08-28,1,25,27,29,49,59,27 29 01 59 25 49
594,2004-09-01,10,13,29,47,53,55,10 53 55 29 13 47
595,2004-09-04,1,2,25,43,50,54,54 02 43 01 50 25
596,2004-09-08,11,14,28,43,54,60,43 60 28 11 54 14
597,2004-09-11,22,27,29,40,42,56,42 40 27 22 56 29
598,2004-09-15,5,16,34,38,50,53,05 16 53 38 50 34
599,2004-09-18,4,6,9,23,45,51,06 45 51 09 23 04
600,2004-09-22,16,18,31,34,39,54,18 39 54 34 31 16
601,2004-09-25,10,19,22,29,30,37,37 19 29 30 10 22
602,2004-09-29,7,13,38,46,55,60,38 60 13 07 55 46
603,2004-10-02,4,8,11,12,29,44,04 08 11 29 12 44
604,2004-10-06,15,25,41,46,49,51,41 49 51 25 15 46
605,2004-10-09,4,24,44,49,52,53,44 52 53 04 49 24
606,2004-10-13,6,23,32,35,41,55,41 06 23 55 32 35
607,2004-10-16,6,11,19,27,41,59,06 59 11 27 19 41
608,2004-10-20,6,13,19,24,30,37,30 06 37 19 24 13
609,2004-10-23,2,6,15,58,59,60,15 02 59 60 06 58
610,2004-10-27,25,30,43,45,47,49,25 49 30 43 47 45
611,2004-10-30,16,21,22,33,48,49,22 21 33 16 48 49
612,2004-11-03,15,18,33,50,53,55,55 33 15 50 53 18
613,2004-11-06,6,13,19,44,54,55,54 55 13 44 06 19
614,2004-11-10,12,16,31,48,57,60,60 31 12 48 57 16
615,2004-11-13,5,8,10,27,31,51,27 31 08 10 51 05
616,2004-11-17,2,12,16,24,26,54,24 16 26 54 12 02
617,2004-11-20,3,5,25,33,36,49,25 05 49 36 33 03
618,2004-11-24,3,8,10,13,24,60,60 10 03 08 24 13
619,2004-11-27,8,12,14,16,19,46,16 12 46 14 08 19
620,2004-12-01,1,3,13,22,29,32,22 01 29 13 32 03
621,2004-12-04,26,29,31,49,50,57,29 31 50 26 57 49
622,2004-12-08,19,27,29,38,50,59,59 27 19 29 50 38
623,2004-12-11,9,23,30,42,49,55,42 23 55 30 09 49
624,2004-12-15,8,23,34,39,43,52,39 23 34 52 08 43
625,2004-12-18,12,24,32,40,42,59,59 12 32 42 24 40
626,2004-12-22,7,8,18,22,39,49,49 08 22 18 07 39
627,2004-12-29,1,13,19,45,56,58,19 13 45 58 56 01
628,2005-01-05,8,16,22,30,56,58,08 16 22 56 58 30
629,2005-01-08,15,16,39,40,47,51,40 47 39 16 51 15
630,2005-01-12,12,16,20,45,53,60,16 53 20 60 12 45
631,2005-01-15,1,20,28,32,44,47,01 28 47 20 44 32
632,2005-01-19,2,19,28,48,51,54,02 54 48 51 19 28
633,2005-01-22,5,11,22,27,46,50,27 46 05 50 11 22
634,2005-01-26,10,13,24,41,42,56,13 41 24 42 10 56
635,2005-01-29,8,20,26,37,42,49,49 42 37 08 20 26
636,2005-02-02,26,28,30,32,34,50,30 32 34 50 28 26
637,2005-02-05,11,18,43,48,52,58,52 58 43 48 11 18
638,2005-02-12,10,11,36,41,42,50,42 10 50 41 11 36
639,2005-02-16,13,35,39,45,51,60,51 39 35 60 45 13
640,2005-02-19,12,19,42,46,59,60,12 42 59 46 19 60
641,2005-02-23,1,9,13,17,33,34,17 13 33 09 01 34
642,2005-02-26,17,36,40,44,51,56,51 17 56 36 44 40
643,2005-03-02,14,24,37,40,42,45,14 45 24 37 40 42
644,2005-03-05,14,27,29,31,34,57,57 29 31 27 34 14
645,2005-03-09,3,24,48,52,53,54,52 48 24 53 54 03
646,2005-03-12,10,13,32,47,49,60,13 47 60 32 49 10
647,2005-03-16,11,12,14,19,54,56,56 19 11 14 12 54
648,2005-03-19,5,23,29,42,45,48,05 48 23 42 45 29
649,2005-03-23,9,24,33,41,48,54,09 54 41 48 33 24
650,2005-03-26,10,24,25,29,53,59,53 59 25 29 10 24
651,2005-03-30,26,28,39,45,48,60,39 45 28 26 48 60
652,2005-04-02,10,18,20,24,56,57,24 18 57 56 10 20
653,2005-04-06,5,9,19,24,31,34,31 24 19 34 09 05
654,2005-04-09,6,10,11,40,41,56,10 11 56 40 41 06
655,2005-04-13,1,26,37,39,43,48,26 39 01 37 43 48
656,2005-04-16,35,36,37,46,51,59,59 37 46 36 35 51
657,2005-04-20,16,20,33,58,59,60,20 59 58 33 60 16
658,2005-04-23,3,6,11,20,36,41,41 20 36 03 11 06
659,2005-04-27,14,29,34,40,51,52,14 29 40 34 51 52
660,2005-04-30,5,11,38,46,53,54,53 05 38 54 46 11
661,2005-05-04,4,27,36,40,42,55,42 40 27 04 55 36
662,2005-05-07,4,18,23,25,56,60,04 60 56 25 18 23
663,2005-05-11,1,27,30,49,51,55,01 49 30 55 27 51
664,2005-05-14,1,12,36,38,55,59,12 01 55 59 38 36
665,2005-05-18,7,8,18,25,47,48,08 47 07 48 25 18
666,2005-05-21,7,16,26,29,45,55,07 26 16 29 45 55
667,2005-05-25,1,4,5,16,23,49,05 23 16 04 49 01
668,2005-05-28,1,2,14,33,49,56,49 33 56 02 14 01
669,2005-06-01,7,24,27,40,41,49,07 41 24 40 49 27
670,2005-06-04,22,37,42,48,58,59,42 59 58 37 48 22
671,2005-06-08,9,16,27,38,39,51,27 16 39 51 09 38
672,2005-06-11,24,28,34,38,43,53,43 34 53 38 28 24
673,2005-06-15,6,11,20,34,37,40,06 40 37 11 20 34
674,2005-06-18,18,22,29,32,38,42,22 32 18 29 42 38
675,2005-06-22,24,25,30,42,43,50,50 42 30 25 43 24
676,2005-06-25,9,15,32,41,42,49,49 32 15 09 41 42
677,2005-06-29,8,10,25,32,48,55,25 10 48 08 32 55
678,2005-07-02,14,31,40,42,44,46,44 46 31 14 40 42
679,2005-07-06,3,21,25,37,54,58,37 21 54 03 58 25
680,2005-07-09,2,3,5,22,26,44,44 02 26 05 03 22
681,2005-07-13,21,25,38,53,58,59,59 21 53 25 58 38
682,2005-07-16,4,27,36,37,47,60,60 37 47 36 04 27
683,2005-07-20,2,11,12,35,40,43,43 40 12 11 02 35
684,2005-07-23,17,19,33,37,40,50,50 37 33 40 19 17
685,2005-07-27,5,12,27,33,43,56,33 27 05 56 12 43
686,2005-07-30,4,5,15,26,33,54,33 05 04 54 15 26
687,2005-08-03,1,7,14,41,48,59,59 48 01 07 41 14
688,2005-08-06,11,21,30,35,47,52,47 30 52 11 21 35
689,2005-08-10,6,7,31,49,51,60,06 60 07 31 49 51
690,2005-08-13,8,12,15,41,47,53,15 41 08 47 12 53
691,2005-08-17,8,16,37,50,55,58,55 16 58 08 37 50
692,2005-08-20,11,18,33,57,58,60,33 18 60 11 58 57
693,2005-08-24,13,14,17,31,41,50,14 50 41 17 31 13
694,2005-08-27,15,19,29,37,41,53,15 19 29 53 37 41
695,2005-08-31,6,11,13,21,40,52,13 40 21 52 06 11
696,2005-09-03,9,16,34,37,53,57,37 16 34 57 53 09
697,2005-09-10,28,31,32,35,51,53,53 35 32 31 28 51
698,2005-09-14,8,12,22,27,43,55,22 08 27 43 55 12
699,2005-09-19,17,23,48,50,53,54,53 17 50 23 54 48
700,2005-09-21,2,3,14,24,31,40,02 03 24 40 31 14
701,2005-09-24,1,13,23,31,48,60,13 01 31 23 60 48
702,2005-09-28,1,18,45,56,57,58,01 56 18 58 45 57
703,2005-10-01,2,11,24,27,30,45,30 24 02 45 11 27
704,2005-10-05,2,4,18,27,34,50,02 27 50 34 18 04
705,2005-10-08,3,11,13,15,26,43,03 15 11 13 26 43
706,2005-10-15,2,7,10,17,22,60,22 10 17 07 02 60
707,2005-10-19,1,8,10,36,43,51,51 08 01 43 10 36
708,2005-10-22,7,9,13,39,45,47,45 13 39 47 09 07
709,2005-10-26,4,6,9,22,29,44,29 22 44 09 06 04
710,2005-10-29,5,25,34,39,46,49,46 25 05 49 39 34
711,2005-11-05,5,10,33,40,41,59,10 05 41 59 40 33
712,2005-11-09,7,8,35,43,53,58,35 07 53 58 08 43
713,2005-11-12,1,12,16,26,46,54,46 01 26 16 12 54
714,2005-11-16,7,8,17,35,39,53,17 53 39 08 07 35
715,2005-11-19,4,12,24,33,36,54,54 36 12 04 33 24
716,2005-11-23,2,7,16,29,32,50,29 02 07 50 16 32
717,2005-11-26,6,17,23,28,35,41,28 35 41 17 06 23
718,2005-11-30,7,21,33,35,39,58,07 35 21 39 58 33
719,2005-12-03,3,32,37,39,47,53,39 47 37 53 32 03
720,2005-12-07,12,31,44,51,54,56,12 56 44 51 31 54
721,2005-12-10,3,14,23,25,36,55,14 03 23 55 36 25
722,2005-12-14,9,18,36,44,57,60,60 36 57 18 44 09
723,2005-12-17,1,6,16,36,50,52,16 06 52 01 36 50
724,2005-12-21,17,27,34,48,51,55,34 51 55 17 48 27
725,2005-12-31,3,9,35,37,41,49,49 09 03 35 37 41
726,2006-01-04,1,5,7,37,40,47,40 47 01 05 07 37
727,2006-01-07,4,12,14,30,42,59,14 42 12 04 59 30
728,2006-01-11,8,13,24,32,42,44,44 42 13 08 24 32
729,2006-01-14,5,18,33,43,56,57,33 56 18 57 43 05
730,2006-01-18,2,15,16,45,50,54,45 15 02 54 16 50
731,2006-01-21,6,15,16,23,28,35,35 06 15 23 28 16
732,2006-01-25,6,17,19,49,50,53,49 19 53 50 17 06
733,2006-01-28,2,12,26,31,43,46,12 26 31 43 46 02
734,2006-02-01,27,29,43,44,45,54,44 45 27 29 43 54
735,2006-02-04,9,15,38,40,42,52,40 42 15 52 38 09
736,2006-02-08,1,21,38,41,49,56,01 21 38 41 56 49
737,2006-02-11,11,12,24,32,33,38,33 12 24 38 11 32
738,2006-02-15,14,15,26,30,42,54,15 30 14 42 26 54
739,2006-02-18,6,10,35,45,49,56,06 45 56 49 35 10
740,2006-02-22,12,16,28,29,47,50,29 47 12 50 16 28
741,2006-02-25,24,26,27,36,39,59,26 39 27 24 59 36
742,2006-03-01,2,7,17,34,41,50,34 17 07 41 02 50
743,2006-03-04,20,23,25,32,54,60,54 20 32 60 25 23
744,2006-03-08,4,12,23,26,39,46,26 46 12 23 39 04
745,2006-03-11,2,16,21,37,43,57,21 57 37 16 43 02
746,2006-03-15,1,10,12,25,49,57,49 12 10 57 25 01
747,2006-03-18,2,3,12,21,23,56,21 23 56 12 03 02
748,2006-03-22,1,2,7,19,35,51,01 07 19 51 35 02
749,2006-03-25,4,24,47,48,50,57,24 47 04 57 48 50
750,2006-03-29,10,17,33,42,54,58,58 17 54 10 42 33
751,2006-04-01,4,7,20,25,38,50,04 25 38 50 20 07
752,2006-04-05,4,23,24,25,29,42,25 04 29 42 24 23
753,2006-04-08,2,7,22,35,43,59,59 35 43 22 07 02
754,2006-04-12,3,4,13,34,42,50,04 42 34 50 03 13
755,2006-04-15,4,12,30,47,49,59,59 30 47 12 04 49
756,2006-04-19,5,27,37,38,41,50,37 50 41 05 38 27
757,2006-04-22,12,17,18,30,32,58,17 32 12 18 58 30
758,2006-04-26,1,23,36,43,47,59,47 59 01 23 36 43
759,2006-04-29,30,31,39,45,48,59,59 39 30 31 48 45
760,2006-05-03,12,17,44,45,46,60,12 17 60 44 46 45
761,2006-05-06,13,17,27,29,40,56,56 29 17 13 27 40
762,2006-05-10,9,12,21,37,39,54,39 09 21 12 37 54
763,2006-05-13,1,9,26,40,47,48,40 47 01 48 09 26
764,2006-05-18,3,7,45,47,53,55,07 03 55 47 53 45
765,2006-05-21,3,10,16,30,37,50,03 37 50 16 30 10
766,2006-05-24,1,19,24,42,50,58,01 50 19 42 24 58
767,2006-05-27,15,22,32,38,50,54,22 50 32 38 54 15
768,2006-05-31,4,8,30,33,37,59,33 37 59 30 04 08
769,2006-06-03,12,16,20,21,29,50,20 21 50 29 12 16
770,2006-06-07,4,12,25,34,35,48,04 34 25 35 48 12
771,2006-06-10,14,21,29,34,46,47,29 46 34 47 21 14
772,2006-06-14,10,35,38,51,52,60,38 51 52 60 10 35
773,2006-06-17,3,5,14,29,34,51,03 05 51 29 34 14
774,2006-06-21,5,10,37,46,54,58,37 05 54 58 46 10
775,2006-06-24,12,27,42,46,47,50,27 12 46 47 42 50
776,2006-06-28,3,15,35,41,57,60,57 35 60 41 03 15
777,2006-07-01,2,14,23,28,50,56,14 50 23 02 28 56
778,2006-07-05,20,31,36,37,45,51,45 20 36 37 31 51
779,2006-07-08,25,26,29,36,52,54,36 54 52 25 29 26
780,2006-07-12,7,10,28,50,51,59,10 50 28 51 59 07
781,2006-07-15,8,10,13,39,54,56,10 54 08 39 56 13
782,2006-07-19,2,11,23,35,42,59,11 23 59 42 35 02
783,2006-07-22,4,8,21,32,43,48,43 21 48 08 04 32
784,2006-07-26,8,27,37,42,53,56,42 56 08 37 27 53
785,2006-07-29,5,8,17,35,37,48,35 05 37 08 48 17
786,2006-08-02,10,11,26,27,31,41,27 31 26 11 10 41
787,2006-08-05,20,31,34,37,54,60,37 31 20 60 34 54
788,2006-08-09,17,19,29,31,44,57,31 57 17 19 29 44
789,2006-08-12,6,31,38,39,50,60,60 39 31 38 06 50
790,2006-08-16,2,6,19,22,28,43,22 02 19 28 43 06
791,2006-08-19,9,14,19,35,42,58,42 35 19 09 14 58
792,2006-08-23,9,29,34,43,45,56,43 56 09 45 29 34
793,2006-08-26,3,15,16,33,51,57,03 51 33 15 16 57
794,2006-08-30,3,38,42,47,55,56,56 47 55 38 42 03
795,2006-09-02,14,21,26,29,36,48,14 36 21 29 26 48
796,2006-09-06,5,19,24,34,39,43,19 24 43 34 39 05
797,2006-09-09,6,12,47,48,52,58,58 48 52 47 12 06
798,2006-09-13,3,4,9,29,32,52,32 09 04 52 29 03
799,2006-09-16,19,29,35,42,55,57,29 35 19 57 42 55
800,2006-09-20,1,7,11,37,38,56,01 07 56 11 37 38
801,2006-09-23,11,19,20,22,42,48,20 22 11 19 48 42
802,2006-09-27,6,14,18,24,48,60,14 24 60 06 18 48
803,2006-09-30,3,5,10,21,28,57,10 57 28 03 05 21
804,2006-10-04,3,13,37,47,56,59,13 59 37 56 03 47
805,2006-10-07,2,30,36,43,48,60,30 02 48 60 43 36
806,2006-10-12,18,26,35,41,47,60,60 41 47 26 35 18
807,2006-10-14,2,8,27,32,49,56,08 27 02 32 56 49
808,2006-10-18,2,15,21,31,46,57,15 21 31 46 02 57
809,2006-10-21,5,11,15,23,25,30,25 23 11 05 30 15
810,2006-10-25,1,4,5,33,37,48,04 33 01 48 05 37
811,2006-10-28,10,28,32,41,47,57,32 57 28 41 10 47
812,2006-11-01,11,13,38,39,54,57,57 39 54 11 38 13
813,2006-11-04,9,15,23,45,46,56,23 15 56 46 09 45
814,2006-11-08,2,8,11,41,46,50,11 02 46 50 08 41
815,2006-11-11,9,19,37,39,50,57,57 50 09 39 37 19
816,2006-11-16,20,21,30,40,47,52,21 47 40 52 30 20
817,2006-11-18,10,29,30,34,43,52,34 43 29 30 10 52
818,2006-11-22,8,9,22,25,41,44,44 41 22 08 09 25
819,2006-11-25,5,19,25,46,51,58,51 05 58 46 25 19
820,2006-11-29,10,17,21,32,45,46,17 45 32 21 10 46
821,2006-12-02,4,29,33,36,38,42,04 29 38 36 33 42
822,2006-12-06,4,10,17,27,41,52,04 17 41 10 27 52
823,2006-12-09,1,15,26,51,54,59,15 26 59 01 54 51
824,2006-12-13,6,7,9,20,33,48,33 48 06 07 20 09
825,2006-12-16,10,21,28,40,41,47,28 21 40 10 41 47
826,2006-12-19,6,7,8,27,45,53,45 06 08 07 53 27
827,2006-12-21,18,24,30,42,51,56,24 56 30 51 42 18
828,2006-12-23,23,28,38,42,50,53,23 50 53 42 28 38
829,2006-12-31,10,14,32,47,50,56,32 50 14 47 10 56
830,2007-01-03,2,13,41,49,51,53,53 51 02 41 13 49
831,2007-01-06,3,32,33,42,48,50,03 50 48 42 32 33
832,2007-01-10,15,17,23,33,39,49,17 49 15 33 39 23
833,2007-01-13,13,16,46,53,57,58,53 58 57 16 46 13
834,2007-01-17,10,16,17,34,44,51,44 10 17 16 51 34
835,2007-01-20,18,31,33,49,57,58,58 31 57 49 33 18
836,2007-01-24,17,22,28,38,52,59,28 22 38 17 52 59
837,2007-01-27,5,6,16,24,34,60,16 05 24 34 06 60
838,2007-01-31,9,23,30,38,44,47,09 30 47 38 23 44
839,2007-02-03,7,8,11,18,37,43,11 18 08 07 37 43
840,2007-02-07,17,29,31,35,43,59,43 29 35 59 31 17
841,2007-02-10,7,22,32,36,38,51,36 51 32 22 38 07
842,2007-02-14,7,9,30,44,51,60,51 44 60 09 07 30
843,2007-02-17,1,16,34,36,45,48,34 48 01 16 45 36
844,2007-02-24,16,24,34,44,54,57,54 24 44 57 34 16
